subject,x1,y1,x2,y2,224*224
Alex_150727,254,160,478,384,"img[160:384, 254:478]"
Alex_160302,140,168,364,392,"img[168:392, 140:364]"
Ariel_140117,295,173,519,397,"img[173:397, 295:519]"
Ben_140307,310,247,534,471,"img[247:471, 310:534]"
Breanna_150424,342,170,566,394,"img[170:394, 342:566]"
Breanna_151009,159,135,383,359,"img[135:359, 159:383]"
Brian_160125,225,194,449,418,"img[194:418, 225:449]"
Brian_160728,237,193,461,417,"img[193:417, 237:461]"
Damian_140416,185,190,409,414,"img[190:414, 185:409]"
Michael_160122,298,222,522,446,"img[222:446, 298:522]"
Dani_141124,278,106,502,330,"img[106:330, 278:502]"
Dani_150603,318,120,542,344,"img[120:344, 318:542]"
DAS_130807,196,182,420,406,"img[182:406, 196:420]"
DAS_130927,180,142,404,366,"img[142:366, 180:404]"
DAS_Chris_150422,159,127,383,351,"img[127:351, 159:383]"
Devon_130506,315,207,539,431,"img[207:431, 315:539]"
Erik_131209,261,86,485,310,"img[86:310, 261:485]"
Gerrit_150807,308,94,532,318,"img[94:318, 308:532]"
Hans_130507,262,251,415,465,"img[241:465, 191:415]"
Hayden_130715,315,164,539,388,"img[164:388, 315:539]"
Jacob_140228,277,191,501,415,"img[191:415, 277:501]"
Jacob_150917,244,135,468,359,"img[135:359, 244:468]"
Jacob_160408,154,151,378,375,"img[151:375, 154:378]"
Jeremiah_150729,302,127,526,351,"img[127:351, 302:526]"
Kevin_130719,157,182,381,406,"img[182:406, 157:381]"
Matthew_130920,329,98,553,322,"img[98:322, 329:553]"
Max_140801,167,181,391,405,"img[181:405, 167:391]"
Maya_141118,157,170,381,394,"img[170:394,157:381]"
Maya_150512,321,139,545,363,"img[139:363,321:545]"
Michael_130723,305,175,529,399,"img[175:399,305:529]"
Michael_160802,174,163,398,387,"img[163:387,174:398]"
Nici_150805,284,145,508,369,"img[145:369,284:508]"
Nick_160608,224,173,448,397,"img[173:397,224:448]"
Oana_Robbie_130911,307,149,531,373,"img[149:373,307:531]"
Rachel_160203,256,194,480,418,"img[194:418,256:480]"
Rachel_160714,166,206,390,430,"img[206:430,166:390]"
Regina_141121,286,173,510,397,"img[173:397,286:510]"
Regina_150519,189,129,413,353,"img[129:353,189:413]"
Robby_131008,276,108,500,332,"img[108:332,276:500]"
Shane_131119,242,120,466,344,"img[120:344,242:466]"
Stephen_130415,302,82,526,306,"img[82:306,302:526]"
Veronica_130322,190,166,414,390,"img[166:390,190:414]"
